,heart,sleep,step
2018-06-4 4.75時,73.7,2.0,0.0
2018-06-4 5.0時,62.0,2.3,0.0
2018-06-4 5.25時,74.7,2.7,0.0
2018-06-4 5.5時,89.0,3.0,287.3
2018-06-4 6.25時,117.0,3.0,426.0
2018-06-4 6.5時,76.0,3.0,118.0
2018-06-4 7.0時,92.0,3.0,232.3
2018-06-4 7.25時,98.3,3.0,318.7
2018-06-4 7.5時,91.7,3.0,477.3
2018-06-4 7.75時,95.2,3.0,119.2
2018-06-4 21.75時,78.3,3.0,324.7
2018-06-4 22.0時,76.3,3.0,251.0
2018-06-4 23.0時,86.3,3.0,92.0
2018-06-5 0.0時,80.7,3.0,37.0
2018-06-5 0.5時,75.7,2.0,0.0
2018-06-5 0.75時,75.0,2.0,0.0
2018-06-5 1.0時,75.0,2.0,0.0
2018-06-5 1.25時,72.3,2.0,0.0
2018-06-5 1.5時,74.7,2.0,0.0
2018-06-5 1.75時,74.0,2.0,0.0
2018-06-5 2.0時,74.3,1.0,0.0
2018-06-5 2.25時,73.7,1.3,0.0
2018-06-5 2.5時,70.7,2.0,0.0
2018-06-5 2.75時,68.7,2.0,0.0
2018-06-5 3.0時,74.0,2.0,0.0
2018-06-5 3.25時,72.3,1.0,0.0
2018-06-5 3.5時,70.3,1.7,0.0
2018-06-5 3.75時,67.3,2.0,0.0
2018-06-5 4.0時,67.7,2.0,0.0
2018-06-5 4.25時,67.3,2.0,0.0
2018-06-5 4.5時,70.0,2.0,0.0
2018-06-5 4.75時,77.7,2.0,0.0
2018-06-5 5.0時,85.3,2.0,0.0
2018-06-5 5.25時,70.3,2.0,0.0
2018-06-5 5.5時,92.0,2.7,91.0
2018-06-5 6.5時,72.5,3.0,148.5
2018-06-5 6.75時,84.7,3.0,120.0
2018-06-5 7.0時,90.7,3.0,129.0
2018-06-5 7.25時,79.0,3.0,227.0
2018-06-5 7.5時,103.0,3.0,246.7
2018-06-5 7.75時,91.0,3.0,431.3
2018-06-5 8.0時,93.2,3.0,160.5
2018-06-5 21.5時,78.7,3.0,236.3
2018-06-5 21.75時,96.5,3.0,165.7
2018-06-5 22.25時,82.0,3.0,34.0
2018-06-5 22.5時,89.7,3.0,46.0
2018-06-5 22.75時,90.0,3.0,59.7
2018-06-5 23.0時,89.0,3.0,107.0
2018-06-6 2.25時,67.3,3.0,222.0
2018-06-6 2.75時,65.3,2.0,0.0
2018-06-6 3.0時,66.7,2.0,0.0
2018-06-6 3.25時,69.3,2.0,0.0
2018-06-6 3.5時,66.0,2.0,0.0
2018-06-6 3.75時,67.0,2.0,0.0
2018-06-6 4.0時,63.7,1.0,0.0
2018-06-6 4.25時,65.0,1.3,0.0
2018-06-6 4.5時,69.7,2.0,0.0
2018-06-6 4.75時,67.0,2.0,0.0
2018-06-6 5.0時,63.0,2.0,0.0
2018-06-6 5.25時,64.3,2.0,0.0
2018-06-6 5.5時,75.3,2.0,0.0
2018-06-6 5.75時,60.3,2.0,0.0
2018-06-6 6.0時,85.0,3.0,123.0
2018-06-6 6.25時,90.5,3.0,183.5
2018-06-6 6.5時,82.0,3.0,142.0
2018-06-6 6.75時,73.3,3.0,122.0
2018-06-6 7.0時,82.7,3.0,208.7
2018-06-6 7.25時,80.3,3.0,293.0
2018-06-6 7.5時,87.0,3.0,463.7
2018-06-6 7.75時,80.0,3.0,271.0
2018-06-6 21.75時,76.3,3.0,130.5
2018-06-6 22.0時,90.3,3.0,484.3
2018-06-6 22.25時,89.3,3.0,205.0
2018-06-6 22.5時,82.0,3.0,158.5
2018-06-6 22.75時,80.0,3.0,113.0
2018-06-6 23.0時,88.7,3.0,27.0
2018-06-6 23.25時,73.3,3.0,70.0
2018-06-6 23.5時,93.0,3.0,91.5
2018-06-7 0.75時,79.7,3.0,257.0
2018-06-7 1.0時,74.0,3.0,62.0
2018-06-7 1.25時,75.0,2.7,0.0
2018-06-7 1.5時,72.0,2.0,0.0
2018-06-7 1.75時,69.3,2.0,0.0
2018-06-7 2.0時,67.0,1.0,0.0
2018-06-7 2.25時,67.3,1.0,0.0
2018-06-7 2.5時,67.0,2.0,0.0
2018-06-7 2.75時,65.0,2.0,0.0
2018-06-7 3.0時,65.3,1.0,0.0
2018-06-7 3.25時,66.0,1.0,0.0
2018-06-7 3.5時,67.0,1.0,0.0
2018-06-7 3.75時,65.7,2.0,0.0
