,heart,sleep,step
2018-06-19 0.25時,82.7,3.0,325.0
2018-06-19 0.5時,63.7,3.0,6.0
2018-06-19 0.75時,66.7,2.0,0.0
2018-06-19 1.0時,60.0,1.0,0.0
2018-06-19 1.25時,71.0,1.0,0.0
2018-06-19 1.5時,87.0,1.0,0.0
2018-06-19 1.75時,64.3,1.0,0.0
2018-06-19 2.0時,60.0,1.0,0.0
2018-06-19 2.25時,65.0,1.7,0.0
2018-06-19 2.5時,61.7,1.0,0.0
2018-06-19 2.75時,61.0,1.7,0.0
2018-06-19 3.0時,59.3,2.0,0.0
2018-06-19 3.25時,66.0,1.7,0.0
2018-06-19 3.5時,58.7,1.0,0.0
2018-06-19 3.75時,62.3,1.0,0.0
2018-06-19 4.0時,61.7,1.3,0.0
2018-06-19 4.25時,61.7,2.0,0.0
2018-06-19 4.5時,65.7,2.0,0.0
2018-06-19 4.75時,68.7,2.0,0.0
2018-06-19 5.0時,58.7,2.0,0.0
2018-06-19 5.25時,66.0,2.0,0.0
2018-06-19 5.5時,69.7,2.3,0.0
2018-06-19 5.75時,74.7,3.0,74.0
2018-06-19 6.5時,89.0,3.0,168.5
2018-06-19 7.0時,89.7,3.0,138.3
2018-06-19 7.25時,97.0,3.0,268.3
2018-06-19 7.5時,77.7,3.0,441.0
2018-06-19 7.75時,87.5,3.0,234.0
2018-06-19 21.75時,70.7,3.0,63.0
2018-06-19 22.0時,76.3,3.0,41.0
2018-06-19 22.25時,79.0,3.0,39.0
2018-06-19 22.75時,79.3,3.0,74.0
2018-06-20 0.0時,71.0,3.0,109.5
2018-06-20 0.5時,65.0,2.7,0.0
2018-06-20 0.75時,63.3,2.0,0.0
2018-06-20 1.0時,62.7,2.0,0.0
2018-06-20 1.25時,61.7,1.7,0.0
2018-06-20 1.5時,62.3,1.0,0.0
2018-06-20 1.75時,65.0,1.3,0.0
2018-06-20 2.0時,63.0,2.0,0.0
2018-06-20 2.25時,66.0,2.0,0.0
2018-06-20 2.5時,56.7,2.0,0.0
2018-06-20 2.75時,76.0,2.0,0.0
2018-06-20 3.0時,63.0,2.0,0.0
2018-06-20 3.25時,60.3,1.0,0.0
2018-06-20 3.5時,60.0,1.0,0.0
2018-06-20 3.75時,57.7,1.0,0.0
2018-06-20 4.0時,67.7,1.7,0.0
2018-06-20 4.25時,54.0,2.0,0.0
2018-06-20 4.5時,54.7,2.0,0.0
2018-06-20 4.75時,53.7,2.0,0.0
2018-06-20 5.0時,54.3,2.0,0.0
2018-06-20 5.25時,67.0,2.0,0.0
2018-06-20 5.5時,57.7,2.0,0.0
2018-06-20 5.75時,54.5,2.0,0.0
2018-06-20 6.0時,63.7,2.0,0.0
2018-06-20 6.25時,80.0,3.0,69.5
2018-06-20 6.5時,66.7,3.0,141.5
2018-06-20 7.0時,74.3,3.0,292.0
2018-06-20 7.5時,80.3,3.0,239.0
2018-06-20 7.75時,90.7,3.0,364.0
2018-06-20 8.0時,90.5,3.0,176.0
2018-06-20 21.5時,85.3,3.0,176.0
2018-06-20 21.75時,93.7,3.0,489.0
2018-06-20 22.0時,100.0,3.0,406.0
2018-06-20 22.25時,93.0,3.0,339.0
2018-06-20 22.5時,80.5,3.0,215.0
2018-06-20 22.75時,83.0,3.0,49.0
2018-06-20 23.0時,89.0,3.0,16.0
2018-06-20 23.25時,83.3,3.0,38.0
2018-06-20 23.5時,76.0,3.0,109.0
2018-06-21 0.5時,84.0,3.0,225.0
2018-06-21 1.0時,64.7,1.7,0.0
2018-06-21 1.25時,61.0,1.3,0.0
2018-06-21 1.5時,61.0,2.0,0.0
2018-06-21 1.75時,66.0,2.0,0.0
2018-06-21 2.0時,59.0,1.7,0.0
2018-06-21 2.25時,61.0,1.0,0.0
2018-06-21 2.5時,59.7,1.0,0.0
2018-06-21 2.75時,59.3,1.3,0.0
2018-06-21 3.0時,58.3,2.0,0.0
2018-06-21 3.25時,60.0,2.0,0.0
2018-06-21 3.5時,58.3,2.0,0.0
2018-06-21 3.75時,56.0,1.0,0.0
2018-06-21 4.0時,58.3,1.0,0.0
2018-06-21 4.25時,63.7,1.0,0.0
2018-06-21 4.5時,53.0,2.0,0.0
2018-06-21 4.75時,53.0,1.7,0.0
2018-06-21 5.0時,57.5,1.0,0.0
2018-06-21 5.25時,60.3,2.0,0.0
2018-06-21 5.5時,61.3,1.7,0.0
2018-06-21 5.75時,54.7,1.0,0.0
2018-06-21 6.0時,58.7,2.0,0.0
2018-06-21 6.25時,83.5,2.7,66.0
2018-06-21 6.5時,71.5,3.0,229.0
2018-06-21 6.75時,75.3,3.0,40.5
2018-06-21 7.0時,80.0,3.0,69.0
2018-06-21 7.25時,79.3,3.0,147.0
2018-06-21 7.5時,93.0,3.0,299.3
2018-06-21 7.75時,90.7,3.0,413.3
2018-06-21 8.0時,73.5,3.0,221.0
2018-06-21 8.25時,75.0,3.0,28.5
2018-06-21 9.0時,77.3,3.0,69.0
2018-06-21 9.5時,79.3,3.0,61.0
2018-06-21 9.75時,78.0,3.0,68.0
2018-06-21 10.25時,73.7,3.0,21.3
2018-06-21 10.75時,68.3,3.0,93.0
2018-06-21 11.0時,87.0,3.0,135.0
2018-06-21 11.25時,75.3,3.0,20.0
2018-06-21 11.5時,82.0,3.0,26.0
2018-06-21 11.75時,96.7,3.0,260.3
2018-06-21 21.5時,85.0,3.0,23.0
2018-06-21 22.5時,74.7,3.0,143.5
2018-06-21 23.0時,80.7,3.0,17.5
2018-06-21 23.25時,74.7,3.0,24.0
2018-06-22 0.5時,87.7,3.0,306.5
2018-06-22 0.75時,87.3,3.0,423.3
2018-06-22 1.0時,97.0,3.0,318.0
2018-06-22 1.25時,78.5,3.0,96.5
2018-06-22 1.5時,80.3,3.0,46.0
2018-06-22 1.75時,80.0,3.0,25.0
2018-06-22 2.0時,78.3,3.0,28.0
2018-06-22 2.5時,87.7,3.0,274.0
2018-06-22 3.0時,68.7,2.0,0.0
2018-06-22 3.25時,67.0,1.3,0.0
2018-06-22 3.5時,68.7,1.0,0.0
2018-06-22 3.75時,68.3,1.0,0.0
2018-06-22 4.0時,68.3,1.0,0.0
2018-06-22 4.25時,68.0,1.0,0.0
2018-06-22 4.5時,74.3,1.7,0.0
2018-06-22 4.75時,74.0,2.0,0.0
2018-06-22 5.0時,66.7,2.0,0.0
2018-06-22 5.25時,69.7,2.0,0.0
2018-06-22 5.5時,74.7,2.0,0.0
2018-06-22 5.75時,68.7,2.3,0.0
2018-06-22 6.0時,79.0,3.0,44.5
2018-06-22 6.25時,89.7,3.0,145.0
2018-06-22 6.5時,78.7,3.0,67.0
2018-06-22 6.75時,79.7,3.0,76.5
2018-06-22 7.0時,91.7,3.0,332.7
2018-06-22 7.25時,87.3,3.0,434.0
2018-06-22 7.5時,84.0,3.0,280.0
2018-06-22 21.5時,90.0,3.0,54.0
2018-06-22 21.75時,78.7,3.0,14.0
2018-06-22 22.25時,82.7,3.0,31.0
2018-06-22 23.0時,92.7,3.0,187.5
2018-06-22 23.5時,94.0,3.0,205.7
2018-06-22 23.75時,106.5,3.0,144.0
2018-06-23 0.0時,78.7,3.0,252.0
2018-06-23 0.25時,79.0,3.0,145.7
2018-06-23 0.5時,82.3,3.0,57.0
2018-06-23 0.75時,86.7,1.7,0.0
2018-06-23 1.0時,84.7,1.0,0.0
2018-06-23 1.25時,86.7,1.0,0.0
2018-06-23 1.5時,75.7,1.0,0.0
2018-06-23 1.75時,71.3,1.0,0.0
2018-06-23 2.0時,98.3,1.0,0.0
2018-06-23 2.25時,96.0,1.0,0.0
2018-06-23 2.5時,78.3,1.0,0.0
2018-06-23 2.75時,72.7,1.0,0.0
2018-06-23 3.0時,72.3,1.0,0.0
2018-06-23 3.25時,75.3,1.0,0.0
2018-06-23 3.5時,73.7,1.0,0.0
2018-06-23 3.75時,71.0,1.0,0.0
2018-06-23 4.0時,73.7,1.0,0.0
2018-06-23 4.25時,73.3,1.0,0.0
2018-06-23 4.5時,71.3,1.0,0.0
2018-06-23 4.75時,77.3,1.3,0.0
2018-06-23 5.0時,71.7,1.0,0.0
2018-06-23 5.25時,69.0,1.0,0.0
2018-06-23 5.5時,76.0,2.0,0.0
2018-06-23 5.75時,66.3,2.0,0.0
2018-06-23 6.0時,67.7,2.0,0.0
2018-06-23 6.25時,67.7,2.0,0.0
2018-06-23 6.5時,70.3,2.0,0.0
2018-06-23 6.75時,77.0,2.0,0.0
2018-06-23 7.0時,66.3,2.0,0.0
2018-06-23 7.25時,70.3,1.7,0.0
2018-06-23 7.5時,72.3,1.0,0.0
2018-06-23 7.75時,75.3,1.0,0.0
2018-06-23 8.0時,78.0,2.0,0.0
2018-06-23 8.25時,68.7,2.0,91.0
2018-06-23 11.5時,76.0,3.0,63.5
2018-06-23 22.0時,72.3,1.7,0.0
2018-06-23 22.25時,74.3,1.3,0.0
2018-06-23 22.5時,72.7,2.0,0.0
2018-06-23 22.75時,74.0,2.0,0.0
2018-06-23 23.0時,72.7,2.0,0.0
2018-06-23 23.25時,71.7,1.3,0.0
2018-06-23 23.5時,73.3,1.3,0.0
2018-06-23 23.75時,73.0,2.3,0.0
2018-06-24 0.0時,63.3,2.0,0.0
2018-06-24 0.25時,60.3,2.0,0.0
2018-06-24 0.5時,59.7,1.7,0.0
2018-06-24 0.75時,58.0,1.0,0.0
2018-06-24 1.0時,57.0,2.0,0.0
2018-06-24 1.25時,57.0,2.0,0.0
2018-06-24 1.5時,55.0,2.0,0.0
2018-06-24 1.75時,57.3,2.0,0.0
2018-06-24 2.0時,56.7,2.0,0.0
2018-06-24 2.25時,81.3,2.0,0.0
2018-06-24 2.5時,58.0,2.0,0.0
2018-06-24 2.75時,54.7,1.7,0.0
2018-06-24 3.0時,55.0,1.0,0.0
2018-06-24 3.25時,54.0,2.0,0.0
2018-06-24 3.5時,55.7,2.0,0.0
2018-06-24 3.75時,61.0,2.0,0.0
2018-06-24 4.0時,68.7,2.3,0.0
2018-06-24 4.25時,57.0,2.0,0.0
2018-06-24 4.5時,55.7,2.0,0.0
2018-06-24 4.75時,54.7,2.0,0.0
2018-06-24 5.0時,63.3,2.0,0.0
2018-06-24 5.25時,65.7,2.0,0.0
2018-06-24 5.5時,61.3,2.0,0.0
2018-06-24 5.75時,59.0,2.0,0.0
2018-06-24 6.0時,57.0,2.0,0.0
2018-06-24 6.25時,77.7,2.0,0.0
2018-06-24 6.5時,56.0,2.0,0.0
2018-06-24 6.75時,57.7,2.0,0.0
2018-06-24 7.0時,59.7,2.0,0.0
2018-06-24 7.25時,78.0,2.0,0.0
2018-06-24 7.5時,75.0,2.3,0.0
2018-06-24 7.75時,73.7,3.0,40.5
2018-06-24 8.0時,107.7,3.0,434.7
2018-06-24 8.75時,76.0,3.0,344.0
2018-06-24 9.0時,85.0,3.0,90.0
2018-06-24 9.5時,75.3,3.0,30.0
2018-06-24 9.75時,80.7,3.0,61.0
2018-06-24 10.0時,89.0,3.0,55.5
2018-06-24 10.25時,83.7,3.0,117.0
2018-06-25 0.5時,80.0,3.0,32.5
2018-06-25 1.75時,76.3,2.3,0.0
2018-06-25 2.0時,71.3,2.0,0.0
2018-06-25 2.25時,65.7,2.0,0.0
2018-06-25 2.5時,65.3,1.7,0.0
2018-06-25 2.75時,64.7,1.0,0.0
2018-06-25 3.0時,76.3,1.0,0.0
2018-06-25 3.25時,67.7,1.0,0.0
2018-06-25 3.5時,67.7,2.0,0.0
2018-06-25 3.75時,63.3,1.7,0.0
2018-06-25 4.0時,65.3,1.0,0.0
2018-06-25 4.25時,65.3,1.0,0.0
2018-06-25 4.5時,69.3,1.0,0.0
2018-06-25 4.75時,64.7,2.0,0.0
2018-06-25 5.0時,68.7,2.0,0.0
2018-06-25 5.25時,64.3,2.0,0.0
2018-06-25 5.5時,76.0,2.0,0.0
2018-06-25 5.75時,59.3,2.0,0.0
2018-06-25 6.0時,58.0,2.3,0.0
2018-06-25 6.25時,91.0,3.0,88.3
2018-06-25 6.5時,88.7,3.0,95.0
2018-06-25 6.75時,73.0,3.0,12.0
2018-06-25 7.0時,85.3,3.0,273.3
2018-06-25 7.25時,100.0,3.0,230.3
2018-06-25 7.5時,71.5,3.0,496.0
2018-06-25 7.75時,84.0,3.0,171.7
2018-06-25 21.5時,80.7,3.0,127.0
2018-06-25 21.75時,78.0,3.0,363.0
2018-06-25 22.0時,101.0,3.0,232.7
2018-06-25 22.25時,86.0,3.0,170.0
2018-06-25 22.75時,98.7,3.0,55.5
2018-06-25 23.25時,92.0,3.0,51.0
2018-06-25 23.5時,81.3,3.0,73.0
2018-06-26 0.5時,77.5,3.0,126.7
2018-06-26 0.75時,83.0,3.0,339.5
2018-06-26 1.0時,77.0,2.7,0.0
2018-06-26 1.25時,76.0,2.0,0.0
2018-06-26 1.5時,74.3,1.0,0.0
2018-06-26 1.75時,76.0,1.0,0.0
2018-06-26 2.0時,75.0,1.0,0.0
2018-06-26 2.25時,83.3,1.7,0.0
2018-06-26 2.5時,76.3,2.0,0.0
2018-06-26 2.75時,71.7,1.0,0.0
2018-06-26 3.0時,73.7,1.0,0.0
2018-06-26 3.25時,74.7,1.0,0.0
2018-06-26 3.5時,74.7,1.3,0.0
2018-06-26 3.75時,73.3,2.0,0.0
2018-06-26 4.0時,71.3,1.0,0.0
2018-06-26 4.25時,74.3,1.7,0.0
2018-06-26 4.5時,84.0,2.0,0.0
2018-06-26 4.75時,75.3,2.0,0.0
2018-06-26 5.0時,75.3,2.3,0.0
2018-06-26 5.25時,75.0,2.0,0.0
2018-06-26 5.5時,76.7,2.0,0.0
2018-06-26 5.75時,78.3,2.0,0.0
2018-06-26 6.0時,85.7,2.0,0.0
2018-06-26 6.25時,89.5,3.0,53.0
2018-06-26 6.5時,86.0,3.0,127.0
2018-06-26 7.0時,97.3,3.0,206.7
2018-06-26 7.25時,98.3,3.0,282.3
2018-06-26 7.5時,98.0,3.0,467.7
2018-06-26 7.75時,97.0,3.0,193.0
2018-06-26 21.75時,80.3,3.0,148.5
2018-06-26 23.0時,86.7,3.0,331.0
2018-06-26 23.25時,79.7,3.0,330.7
2018-06-26 23.5時,89.0,3.0,257.0
2018-06-26 23.75時,66.0,3.0,127.0
2018-06-27 0.0時,84.3,3.0,115.0
2018-06-27 0.25時,75.7,3.0,154.0
2018-06-27 0.5時,83.3,3.0,16.0
2018-06-27 0.75時,81.0,3.0,107.0
2018-06-27 1.25時,64.3,2.0,0.0
2018-06-27 1.5時,62.0,2.0,0.0
2018-06-27 1.75時,61.3,2.0,0.0
2018-06-27 2.0時,73.0,1.7,0.0
2018-06-27 2.25時,61.3,1.3,0.0
2018-06-27 2.5時,61.7,2.0,0.0
2018-06-27 2.75時,58.0,2.0,0.0
2018-06-27 3.0時,61.7,2.0,0.0
2018-06-27 3.25時,58.3,2.0,0.0
2018-06-27 3.5時,58.7,2.0,0.0
2018-06-27 3.75時,61.7,1.7,0.0
2018-06-27 4.0時,59.0,1.0,0.0
2018-06-27 4.25時,58.3,1.0,0.0
2018-06-27 4.5時,63.3,1.0,0.0
2018-06-27 4.75時,62.7,2.0,0.0
2018-06-27 5.0時,65.3,2.0,0.0
2018-06-27 5.25時,87.0,3.0,58.0
2018-06-27 5.5時,96.3,3.0,424.0
2018-06-27 6.5時,74.3,3.0,76.0
2018-06-27 6.75時,95.0,3.0,96.0
2018-06-27 7.0時,83.5,3.0,84.0
2018-06-27 7.25時,107.3,3.0,312.7
2018-06-27 7.5時,105.0,3.0,453.7
2018-06-27 7.75時,90.0,3.0,310.7
2018-06-27 8.0時,81.7,3.0,172.0
2018-06-27 22.25時,69.0,3.0,81.0
2018-06-27 22.5時,91.3,3.0,497.7
2018-06-27 22.75時,91.0,3.0,225.3
2018-06-27 23.0時,80.3,3.0,256.0
2018-06-27 23.25時,72.0,3.0,94.5
2018-06-27 23.5時,74.7,3.0,59.0
2018-06-27 23.75時,79.0,3.0,76.0
2018-06-28 0.0時,92.3,3.0,41.0
2018-06-28 0.25時,80.7,3.0,44.5
2018-06-28 1.0時,82.7,3.0,113.0
2018-06-28 1.25時,88.3,3.0,298.0
2018-06-28 1.75時,65.7,1.3,0.0
2018-06-28 2.0時,69.0,1.0,0.0
2018-06-28 2.25時,61.7,1.0,0.0
2018-06-28 2.5時,62.0,1.3,0.0
2018-06-28 2.75時,59.3,1.0,0.0
2018-06-28 3.0時,60.3,2.0,0.0
2018-06-28 3.25時,65.7,2.0,0.0
2018-06-28 3.5時,59.0,2.0,0.0
2018-06-28 3.75時,61.7,2.0,0.0
2018-06-28 4.0時,64.7,2.0,0.0
2018-06-28 4.25時,61.7,2.0,0.0
2018-06-28 4.5時,59.7,2.0,0.0
2018-06-28 4.75時,63.7,1.0,0.0
2018-06-28 5.0時,59.0,1.0,0.0
2018-06-28 5.25時,57.7,1.7,0.0
2018-06-28 5.5時,73.7,2.0,0.0
2018-06-28 5.75時,58.3,2.0,0.0
2018-06-28 6.0時,78.0,2.3,0.0
2018-06-28 6.25時,70.7,2.7,0.0
2018-06-28 6.5時,72.0,2.7,80.0
2018-06-28 6.75時,72.3,3.0,96.0
2018-06-28 7.0時,86.0,3.0,182.5
2018-06-28 7.25時,83.3,3.0,293.0
2018-06-28 7.5時,94.7,3.0,318.0
2018-06-28 7.75時,105.7,3.0,499.3
2018-06-28 8.0時,92.0,3.0,153.0
2018-06-28 21.5時,99.3,3.0,125.0
2018-06-28 21.75時,84.0,3.0,146.0
2018-06-28 22.25時,82.3,3.0,39.0
2018-06-28 22.5時,89.3,3.0,92.0
2018-06-28 22.75時,81.7,3.0,74.5
2018-06-28 23.0時,92.7,3.0,11.0
2018-06-28 23.5時,81.3,3.0,24.0
2018-06-28 23.75時,101.0,3.0,73.0
2018-06-29 1.0時,73.7,3.0,223.5
2018-06-29 1.25時,80.3,3.0,198.0
2018-06-29 1.5時,69.7,2.3,0.0
2018-06-29 1.75時,68.0,1.0,0.0
2018-06-29 2.0時,69.3,1.7,0.0
2018-06-29 2.25時,69.0,2.0,0.0
2018-06-29 2.5時,63.7,2.0,0.0
2018-06-29 2.75時,70.0,2.0,0.0
2018-06-29 3.0時,67.0,2.0,0.0
2018-06-29 3.25時,69.7,1.0,0.0
2018-06-29 3.5時,66.3,1.0,0.0
2018-06-29 3.75時,67.3,2.0,0.0
2018-06-29 4.0時,72.0,1.3,0.0
2018-06-29 4.25時,66.0,1.3,0.0
2018-06-29 4.5時,65.3,2.0,0.0
2018-06-29 4.75時,71.7,2.0,0.0
2018-06-29 5.0時,69.7,1.3,0.0
2018-06-29 5.25時,70.0,1.3,0.0
2018-06-29 5.5時,73.0,2.0,0.0
2018-06-29 5.75時,72.7,2.0,0.0
2018-06-29 6.0時,73.0,2.0,0.0
2018-06-29 6.25時,73.3,2.3,0.0
2018-06-29 6.5時,75.0,3.0,93.0
2018-06-29 6.75時,84.0,3.0,83.0
2018-06-29 7.0時,85.3,3.0,107.0
2018-06-29 7.25時,91.0,3.0,211.0
2018-06-29 7.5時,91.7,3.0,349.0
2018-06-29 7.75時,88.0,3.0,377.3
2018-06-29 8.0時,94.5,3.0,144.0
2018-06-29 21.5時,70.7,3.0,209.0
2018-06-29 21.75時,78.0,3.0,103.0
2018-06-29 22.25時,85.3,3.0,263.3
2018-06-29 22.5時,79.7,3.0,377.7
2018-06-29 22.75時,84.5,3.0,228.7
2018-06-29 23.0時,105.0,3.0,97.0
2018-06-29 23.25時,91.0,3.0,110.0
2018-06-29 23.5時,75.0,3.0,45.3
2018-06-30 0.25時,76.3,3.0,30.0
2018-06-30 0.75時,83.7,3.0,100.0
2018-06-30 1.0時,92.3,2.7,0.0
2018-06-30 1.25時,82.0,2.0,0.0
2018-06-30 1.5時,66.0,2.0,0.0
2018-06-30 1.75時,67.3,2.0,0.0
2018-06-30 2.0時,69.7,2.0,0.0
2018-06-30 2.25時,72.0,1.0,0.0
2018-06-30 2.5時,80.3,1.7,0.0
2018-06-30 2.75時,71.3,2.3,0.0
2018-06-30 3.0時,67.0,2.0,0.0
2018-06-30 3.25時,62.7,2.0,0.0
2018-06-30 3.5時,62.7,1.3,0.0
2018-06-30 3.75時,64.0,1.0,0.0
2018-06-30 4.0時,72.7,2.3,0.0
2018-06-30 4.25時,61.0,2.0,0.0
2018-06-30 4.5時,64.3,2.0,0.0
2018-06-30 4.75時,66.3,2.3,0.0
2018-06-30 5.0時,75.3,1.3,0.0
2018-06-30 5.25時,82.0,1.3,0.0
2018-06-30 5.5時,89.3,2.0,0.0
2018-06-30 5.75時,55.3,2.0,0.0
2018-06-30 6.0時,70.3,2.3,0.0
2018-06-30 6.25時,70.0,2.0,0.0
2018-06-30 6.5時,72.3,2.0,0.0
2018-06-30 6.75時,70.0,3.0,63.0
2018-06-30 7.5時,84.0,3.0,145.5
2018-06-30 8.5時,103.0,3.0,182.0
2018-06-30 8.75時,99.3,3.0,54.5
2018-06-30 9.0時,93.0,3.0,90.7
2018-06-30 9.25時,72.0,3.0,122.0
2018-06-30 9.5時,89.0,3.0,173.0
2018-06-30 9.75時,100.7,3.0,126.5
2018-06-30 21.5時,87.0,3.0,40.0
2018-06-30 22.0時,90.7,3.0,228.0
2018-06-30 22.5時,89.0,2.7,0.0
2018-06-30 22.75時,84.7,2.0,0.0
2018-06-30 23.0時,88.3,2.3,0.0
2018-06-30 23.25時,83.0,2.0,0.0
2018-06-30 23.5時,77.3,2.0,0.0
2018-06-30 23.75時,73.0,2.0,0.0
